ID,growing zone,tree name,botanical name,overview description,sun preference,soil preference,mature height,mature spread,growth speed,flower color,foliage color,fall color,pollinator friendly,outgoing link,main_tree_image,tree_image_1,tree_image_2,tree_image_3,tree_image_4
11,2,Colorado Spruce,Picea pungens,"<ul>
<li>Large Scale Conifer</li>
<li>Hardy & Easy-Care</li>
<li>Deer Resistant</li>
<li>Large, Impressive Specimen</li>
<li>Wild Bird Interest</li>
<li>Graceful Strength</li>
<li>Magnificent Wind Break</li>
<li>Tolerant & Resilient</li>
<li>Boughs For Floral Design</li>
<li>Historical Uses</li>
<ul>","Full Sun, Partial Shade",Well Drained,50 - 60 Feet,12 - 20 Feet,Slow,N/A,"Green, Blue",Evergreen,No,https://www.naturehills.com/colorado-spruce,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-2_piceapungenscoloradospruce-600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-3_piceapungenscoloradospruce-600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-1_piceapungenscoloradospruce-600x600_1.webp,N/A,N/A
12,3,Colorado Spruce,Picea pungens,"<ul>
<li>Large Scale Conifer</li>
<li>Hardy & Easy-Care</li>
<li>Deer Resistant</li>
<li>Large, Impressive Specimen</li>
<li>Wild Bird Interest</li>
<li>Graceful Strength</li>
<li>Magnificent Wind Break</li>
<li>Tolerant & Resilient</li>
<li>Boughs For Floral Design</li>
<li>Historical Uses</li>
<ul>","Full Sun, Partial Shade",Well Drained,50 - 60 Feet,12 - 20 Feet,Slow,N/A,"Green, Blue",Evergreen,No,https://www.naturehills.com/colorado-spruce,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-2_piceapungenscoloradospruce-600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-3_piceapungenscoloradospruce-600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-1_piceapungenscoloradospruce-600x600_1.webp,N/A,N/A
13,4,Colorado Spruce,Picea pungens,"<ul>
<li>Large Scale Conifer</li>
<li>Hardy & Easy-Care</li>
<li>Deer Resistant</li>
<li>Large, Impressive Specimen</li>
<li>Wild Bird Interest</li>
<li>Graceful Strength</li>
<li>Magnificent Wind Break</li>
<li>Tolerant & Resilient</li>
<li>Boughs For Floral Design</li>
<li>Historical Uses</li>
<ul>","Full Sun, Partial Shade",Well Drained,50 - 60 Feet,12 - 20 Feet,Slow,N/A,"Green, Blue",Evergreen,No,https://www.naturehills.com/colorado-spruce,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-2_piceapungenscoloradospruce-600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-3_piceapungenscoloradospruce-600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-1_piceapungenscoloradospruce-600x600_1.webp,N/A,N/A
14,5,Colorado Spruce,Picea pungens,"<ul>
<li>Large Scale Conifer</li>
<li>Hardy & Easy-Care</li>
<li>Deer Resistant</li>
<li>Large, Impressive Specimen</li>
<li>Wild Bird Interest</li>
<li>Graceful Strength</li>
<li>Magnificent Wind Break</li>
<li>Tolerant & Resilient</li>
<li>Boughs For Floral Design</li>
<li>Historical Uses</li>
<ul>","Full Sun, Partial Shade",Well Drained,50 - 60 Feet,12 - 20 Feet,Slow,N/A,"Green, Blue",Evergreen,No,https://www.naturehills.com/colorado-spruce,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-2_piceapungenscoloradospruce-600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-3_piceapungenscoloradospruce-600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-1_piceapungenscoloradospruce-600x600_1.webp,N/A,N/A
15,6,Colorado Spruce,Picea pungens,"<ul>
<li>Large Scale Conifer</li>
<li>Hardy & Easy-Care</li>
<li>Deer Resistant</li>
<li>Large, Impressive Specimen</li>
<li>Wild Bird Interest</li>
<li>Graceful Strength</li>
<li>Magnificent Wind Break</li>
<li>Tolerant & Resilient</li>
<li>Boughs For Floral Design</li>
<li>Historical Uses</li>
<ul>","Full Sun, Partial Shade",Well Drained,50 - 60 Feet,12 - 20 Feet,Slow,N/A,"Green, Blue",Evergreen,No,https://www.naturehills.com/colorado-spruce,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-2_piceapungenscoloradospruce-600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-3_piceapungenscoloradospruce-600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-1_piceapungenscoloradospruce-600x600_1.webp,N/A,N/A
16,7,Colorado Spruce,Picea pungens,"<ul>
<li>Large Scale Conifer</li>
<li>Hardy & Easy-Care</li>
<li>Deer Resistant</li>
<li>Large, Impressive Specimen</li>
<li>Wild Bird Interest</li>
<li>Graceful Strength</li>
<li>Magnificent Wind Break</li>
<li>Tolerant & Resilient</li>
<li>Boughs For Floral Design</li>
<li>Historical Uses</li>
<ul>","Full Sun, Partial Shade",Well Drained,50 - 60 Feet,12 - 20 Feet,Slow,N/A,"Green, Blue",Evergreen,No,https://www.naturehills.com/colorado-spruce,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-2_piceapungenscoloradospruce-600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-3_piceapungenscoloradospruce-600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/colorado-spruce/3327-1_piceapungenscoloradospruce-600x600_1.webp,N/A,N/A
17,6,Okame Cherry Tree,Prunus x 'Okame',"<ul>
<li>Vivid Rosy Pink Blossoms in Early Spring</li>
<li>Blooms in Hot and Humid South, and Hot and Dry West</li>
<li>Fabulous Spring and Fall Color in the North</li>
<li>Specimen Tree</li>
<li>Requires Little Pruning</li>
<li>Celebrated at the Cherry Blossom Festival in Washington, D.C.</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,15 - 30 Feet,20 - 30 Feet,Medium,Pink,Green,"Yellow, Orange, Red",Yes,https://www.naturehills.com/okame-cherry,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-branches-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-close-up-600x600.webp,N/A
18,7,Okame Cherry Tree,Prunus x 'Okame',"<ul>
<li>Vivid Rosy Pink Blossoms in Early Spring</li>
<li>Blooms in Hot and Humid South, and Hot and Dry West</li>
<li>Fabulous Spring and Fall Color in the North</li>
<li>Specimen Tree</li>
<li>Requires Little Pruning</li>
<li>Celebrated at the Cherry Blossom Festival in Washington, D.C.</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,15 - 30 Feet,20 - 30 Feet,Medium,Pink,Green,"Yellow, Orange, Red",Yes,https://www.naturehills.com/okame-cherry,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-branches-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-close-up-600x600.webp,N/A
19,8,Okame Cherry Tree,Prunus x 'Okame',"<ul>
<li>Vivid Rosy Pink Blossoms in Early Spring</li>
<li>Blooms in Hot and Humid South, and Hot and Dry West</li>
<li>Fabulous Spring and Fall Color in the North</li>
<li>Specimen Tree</li>
<li>Requires Little Pruning</li>
<li>Celebrated at the Cherry Blossom Festival in Washington, D.C.</li>
<ul>","Full Sun, Partial Shade",Widely Adaptable,15 - 30 Feet,20 - 30 Feet,Medium,Pink,Green,"Yellow, Orange, Red",Yes,https://www.naturehills.com/okame-cherry,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-branches-600x600.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/okame-cherry/okame-cherry-tree-close-up-600x600.webp,N/A
20,2,Quaking Aspen Tree,Populus Tremuloides 'Quaking',"<ul>
<li>Fast-Growing Native Plant</li>
<li>Wonderful Heart-Shaped Leaves</li>
<li>Useful Pyramidal Shape</li>
<li>Beautiful Fall Color</li>
<li>Adds Motion & Sound</li>
<li>Historical Uses</li>
<li>Beneficial To Wildlife</li>
<li>Long-Lived</li>
<li>Cold Hardy Nativer</li>
<li>Distinctive White Bark</li>
<ul>",Full Sun,Widely Adaptable,40 - 50 Feet,20 - 30 Feet,Fast,N/A,Dark Green,Yellow,Yes,https://www.naturehills.com/aspen-quaking,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking_aspen_tree_600x600_1.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen-from-tim-357x357.webp,https://raw.githubusercontent.com/irmakerdem/tree-pal-api/main/assets/quaking-aspen/quaking-aspen_bark-closeup-600x600.webp,N/A,N/A
